,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
,,,,,,,,
2025-03-07 20,68.91,51.59,57.53,3.09,42.32,60.00,34.51,50.57
2025-03-07 21,63.50,51.75,56.38,2.68,,55.74,,41.81
2025-03-07 22,64.34,50.47,54.67,2.81,42.23,55.67,32.49,
2025-03-07 23,61.99,,50.22,,38.04,50.14,33.37,42.01
2025-03-08 00,,50.82,44.24,3.59,39.45,46.41,,47.48
2025-03-08 01,67.31,,43.14,,,46.41,30.63,51.90
2025-03-08 02,63.03,56.76,41.15,3.98,24.48,45.02,,51.10
2025-03-08 03,59.87,51.84,35.66,4.45,25.28,42.26,26.31,48.61
2025-03-08 04,57.48,51.32,32.51,,24.83,,,46.09
2025-03-08 05,52.15,50.45,33.33,4.19,,37.05,23.03,46.61
2025-03-08 06,,,30.29,,23.23,,21.02,
2025-03-08 07,48.80,52.00,31.70,3.87,,33.93,,47.04
2025-03-08 08,53.98,,,4.13,24.83,42.42,24.01,54.14
2025-03-08 09,60.44,58.74,39.77,,30.57,,30.47,57.82
2025-03-08 10,69.07,58.17,46.26,3.78,31.47,47.76,,60.93
2025-03-08 11,71.02,,48.28,3.69,33.75,49.28,29.99,
2025-03-08 12,70.42,60.79,53.35,,,52.87,36.24,55.96
2025-03-08 13,68.02,57.13,52.49,3.00,36.24,47.32,31.54,54.42
2025-03-08 14,63.84,,,2.75,39.11,46.44,,
2025-03-08 15,,60.37,52.69,,40.52,,35.70,58.14
2025-03-08 16,74.71,59.62,,3.02,40.69,49.24,34.35,
2025-03-08 17,,,52.47,3.27,40.99,,32.65,58.71
2025-03-08 18,72.28,60.52,,3.11,41.69,49.47,,60.25
2025-03-08 19,76.70,,60.50,,41.06,64.56,33.47,
2025-03-08 20,76.25,60.37,61.06,2.99,43.70,64.43,36.48,56.90
2025-03-08 21,73.85,,58.24,,43.19,62.51,35.07,50.30
2025-03-08 22,,58.43,54.70,3.08,41.75,62.27,,
2025-03-08 23,73.30,61.36,55.05,3.33,37.62,,35.35,51.64
2025-03-09 00,76.45,61.22,46.76,,35.27,59.55,36.64,57.95
2025-03-09 01,70.89,59.71,41.75,3.43,,,33.74,56.69
2025-03-09 02,64.43,57.57,38.28,4.00,31.83,49.18,29.49,51.46
2025-03-09 03,62.27,55.11,36.65,4.28,28.43,49.19,24.41,49.03
2025-03-09 04,60.49,50.89,30.97,4.35,28.87,42.07,22.02,
2025-03-09 05,55.74,51.56,31.54,3.79,27.51,39.90,,47.87
2025-03-09 06,48.37,48.52,,3.69,26.22,,33.71,
2025-03-09 07,,,27.57,,,34.51,,41.35
2025-03-09 08,54.90,52.97,32.13,3.09,26.63,36.46,33.17,43.61
2025-03-09 09,,56.21,44.72,,32.97,41.57,34.85,
2025-03-09 10,58.57,61.20,48.72,3.25,33.14,46.12,42.69,46.91
2025-03-09 11,60.05,60.00,49.54,3.90,40.31,50.19,42.44,47.32
2025-03-09 12,61.99,64.27,52.11,3.12,39.38,50.47,37.77,46.26
2025-03-09 13,72.94,62.20,52.74,,37.69,52.47,,56.21
2025-03-09 14,73.41,65.28,49.98,2.90,,47.05,39.48,
2025-03-09 15,72.38,,49.91,,37.43,,37.28,60.34
2025-03-09 16,,66.15,50.77,3.16,39.04,51.62,33.68,57.48
2025-03-09 17,71.81,66.87,48.08,,39.23,,31.60,
2025-03-09 18,,58.02,,3.71,41.44,46.33,,55.74
2025-03-09 19,80.44,,57.72,2.78,46.26,62.70,32.04,
2025-03-09 20,76.32,60.97,60.38,,44.18,,36.77,53.16
2025-03-09 21,73.86,,,2.96,40.45,65.50,,
2025-03-09 22,72.57,56.25,57.42,3.18,,61.88,36.55,49.38
2025-03-09 23,,59.33,54.38,3.52,38.03,59.65,35.44,49.41
2025-03-10 00,74.14,64.79,49.72,,35.80,53.78,34.50,55.40
2025-03-10 01,76.06,58.79,38.85,3.94,,50.01,31.88,57.66
2025-03-10 02,66.17,,,4.38,23.51,49.22,28.39,51.13
2025-03-10 03,62.42,56.87,37.56,4.15,24.71,46.80,25.50,48.74
2025-03-10 04,58.08,55.07,34.81,,26.38,43.90,23.47,
2025-03-10 05,58.35,56.87,,3.63,24.26,43.36,,51.13
