,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
,,,,,,,,
2025-04-17 15,159.81,140.84,,6.31,57.75,116.23,73.05,131.12
2025-04-17 16,135.42,118.23,80.35,4.75,57.39,103.54,72.31,110.35
2025-04-17 17,117.98,101.63,76.54,3.19,53.45,87.85,54.74,80.61
2025-04-17 18,,112.75,,,53.50,,,93.70
2025-04-17 19,128.63,,88.44,4.76,,99.36,58.61,90.38
2025-04-17 20,,108.58,86.91,4.39,53.38,98.65,,87.94
2025-04-17 21,123.86,,84.19,,52.63,98.44,55.93,
2025-04-17 22,126.11,108.08,76.35,4.57,52.44,99.80,58.71,92.76
2025-04-17 23,140.44,120.24,72.86,5.13,51.18,,58.43,105.99
2025-04-18 00,147.81,126.29,67.34,6.67,35.92,105.06,,115.52
2025-04-18 01,151.63,127.26,67.06,7.69,35.74,112.43,56.87,117.09
2025-04-18 02,147.47,123.12,63.61,,,110.16,53.64,113.21
2025-04-18 03,140.56,118.10,61.72,7.38,36.58,107.26,53.37,104.74
2025-04-18 04,131.71,113.15,58.36,7.18,37.37,101.83,49.95,104.05
2025-04-18 05,119.95,106.76,55.61,5.96,,86.39,47.36,93.39
2025-04-18 06,,,,,30.29,81.43,,
2025-04-18 07,119.67,110.29,55.09,5.84,34.25,,46.57,97.68
2025-04-18 08,116.84,110.67,64.19,5.35,45.31,84.82,48.61,95.76
2025-04-18 09,,,77.60,4.50,52.40,,54.66,
2025-04-18 10,124.81,106.69,80.45,3.76,50.39,86.87,57.97,96.04
2025-04-18 11,,102.35,77.16,,,81.54,50.11,94.71
2025-04-18 12,123.29,,,3.87,51.11,,,91.73
2025-04-18 13,142.14,116.75,77.51,5.30,,93.52,49.10,99.79
2025-04-18 14,158.50,132.16,,6.47,53.78,110.34,56.62,118.51
2025-04-18 15,153.76,123.37,73.86,5.76,58.22,114.48,63.43,123.96
2025-04-18 16,129.07,111.20,80.32,3.65,,95.23,57.92,92.90
2025-04-18 17,108.15,91.89,73.76,3.63,59.89,82.61,53.75,72.06
2025-04-18 18,118.03,102.21,,,59.36,,,
2025-04-18 19,120.94,,84.69,3.97,,93.97,58.85,84.80
2025-04-18 20,,97.42,,4.35,53.69,,55.80,79.75
2025-04-18 21,119.87,,80.36,,49.98,87.70,,
2025-04-18 22,120.85,98.94,74.02,5.16,49.35,90.85,57.50,82.50
2025-04-18 23,136.66,109.08,66.74,,44.11,94.85,56.35,98.06
2025-04-19 00,150.47,119.37,64.81,5.79,30.54,104.64,,114.56
2025-04-19 01,144.29,124.90,62.99,6.80,,,51.51,110.22
2025-04-19 02,138.68,119.98,,7.32,28.58,106.60,,105.38
2025-04-19 03,135.22,114.00,59.69,7.38,,99.91,51.29,102.44
2025-04-19 04,131.52,108.65,,6.39,31.01,95.03,51.10,99.36
2025-04-19 05,117.88,102.94,56.55,6.06,27.88,83.47,46.64,93.56
2025-04-19 06,,,,5.86,,,,
2025-04-19 07,107.82,99.83,52.63,5.35,28.42,72.92,46.88,90.34
2025-04-19 08,,101.72,64.24,,47.24,,50.01,90.69
2025-04-19 09,105.65,98.84,77.43,5.32,51.11,81.49,56.40,82.50
2025-04-19 10,107.95,,77.86,5.14,49.72,,59.24,
2025-04-19 11,,95.98,,4.47,48.66,81.24,59.72,80.44
2025-04-19 12,116.06,102.54,76.10,4.06,50.01,85.49,57.23,91.00
2025-04-19 13,124.84,110.04,,4.97,53.97,,,97.43
2025-04-19 14,137.33,117.62,71.36,5.02,57.18,108.45,59.24,112.81
2025-04-19 15,144.41,118.76,72.79,4.83,59.74,99.63,57.56,114.35
2025-04-19 16,113.69,104.46,77.67,4.06,61.25,91.29,55.20,88.04
2025-04-19 17,105.50,,73.33,3.78,57.35,79.18,53.50,
2025-04-19 18,,84.51,,4.28,57.23,,,68.06
2025-04-19 19,122.17,102.60,88.22,4.15,,91.69,55.59,92.55
2025-04-19 20,121.66,102.50,83.48,,56.60,93.31,,
2025-04-19 21,,,80.60,4.50,51.71,95.26,53.26,85.87
2025-04-19 22,125.70,106.91,76.85,5.52,50.10,,58.57,107.47
2025-04-19 23,138.65,117.54,67.85,7.54,47.48,98.43,56.08,107.01
2025-04-20 00,139.66,112.96,61.22,7.43,29.15,102.28,50.80,104.17
2025-04-20 01,134.17,110.72,58.08,7.27,,106.12,48.21,98.57
2025-04-20 02,129.79,107.90,55.45,7.21,27.06,101.53,48.58,96.51
2025-04-20 03,124.47,101.06,52.46,6.74,26.71,,48.31,
2025-04-20 04,120.02,97.18,51.32,6.81,28.70,96.36,44.15,91.75
2025-04-20 05,100.83,,46.41,5.82,29.24,75.27,,74.08
2025-04-20 06,,93.71,,4.26,,,53.29,62.07
2025-04-20 07,87.44,92.57,44.91,,27.75,67.28,63.39,60.37
2025-04-20 08,86.08,,55.36,4.67,51.04,68.47,67.68,
2025-04-20 09,,96.23,71.47,3.97,55.97,76.38,71.69,62.27
2025-04-20 10,89.29,93.08,75.69,,,77.84,73.90,60.82
2025-04-20 11,87.38,96.90,76.07,3.90,54.16,,72.94,57.83
2025-04-20 12,98.18,96.43,75.90,4.97,57.22,84.03,73.23,63.72
2025-04-20 13,107.85,107.47,,,,,,81.70
2025-04-20 14,131.27,118.76,71.28,5.02,56.85,108.56,65.14,100.87
2025-04-20 15,139.56,116.44,72.35,6.42,,104.95,70.90,108.36
2025-04-20 16,120.63,96.95,74.81,4.83,58.92,94.32,64.90,91.97
2025-04-20 17,105.19,87.59,76.23,4.00,57.09,82.39,52.21,73.90
2025-04-20 18,,,,,57.47,,,
2025-04-20 19,114.66,94.57,75.68,3.82,54.80,88.47,54.45,82.31
2025-04-20 20,113.09,,,4.04,,92.92,55.90,83.03
2025-04-20 21,120.69,94.60,75.06,4.10,55.08,94.71,55.08,85.62
2025-04-20 22,124.75,101.08,72.60,4.41,49.26,,,102.59
2025-04-20 23,131.93,108.12,61.89,6.09,43.61,98.51,54.27,99.53
2025-04-21 00,132.73,107.48,55.64,6.43,29.09,101.42,50.16,94.52
2025-04-21 01,127.05,104.21,54.93,6.93,,99.13,47.17,91.88
2025-04-21 02,,100.51,51.93,,28.98,97.93,,90.33
2025-04-21 03,123.56,96.13,,6.34,33.60,93.90,46.20,
2025-04-21 04,117.90,93.23,52.06,6.26,33.14,89.34,42.88,85.02
2025-04-21 05,94.11,,44.88,5.14,31.55,71.91,,72.72
2025-04-21 06,82.46,84.14,,4.91,,64.63,52.65,61.98
2025-04-21 07,,88.67,45.88,,30.76,,59.67,
2025-04-21 08,82.08,91.54,54.13,3.81,38.47,63.78,70.53,64.75
2025-04-21 09,86.14,95.79,70.73,3.50,48.62,72.35,71.77,
2025-04-21 10,89.81,,76.54,4.15,50.93,77.55,75.25,62.35
2025-04-21 11,89.07,99.32,,3.75,51.48,,75.60,
2025-04-21 12,94.15,101.28,73.67,,,84.14,72.41,64.22
2025-04-21 13,108.65,113.05,,3.56,51.64,,,80.25
2025-04-21 14,128.72,117.82,70.97,6.49,51.33,111.16,63.85,106.26
2025-04-21 15,140.22,118.55,,5.96,,102.92,70.80,112.87
2025-04-21 16,118.11,97.47,75.88,4.80,54.25,90.05,63.69,90.65
2025-04-21 17,104.34,88.36,71.90,3.13,51.65,82.40,53.75,74.65
2025-04-21 18,,,,,52.37,,,88.45
2025-04-21 19,112.64,95.06,78.27,3.41,,94.59,55.77,87.53
2025-04-21 20,,97.77,,3.63,52.53,92.17,54.19,
2025-04-21 21,112.11,,72.70,5.07,52.08,,52.25,85.35
2025-04-21 22,128.85,102.47,70.27,,49.51,90.69,52.88,105.36
2025-04-21 23,,109.43,63.49,5.64,46.35,96.10,50.96,101.27
2025-04-22 00,132.60,105.88,56.28,7.37,30.84,100.89,49.02,96.30
2025-04-22 01,128.50,,55.53,6.47,,,,93.50
2025-04-22 02,125.04,102.81,54.00,6.08,29.75,98.06,46.86,90.27
2025-04-22 03,120.00,96.51,50.35,6.14,27.82,92.74,46.32,86.15
2025-04-22 04,113.22,91.04,48.46,5.48,,88.10,44.99,84.57
2025-04-22 05,94.09,,43.84,4.89,28.96,70.74,,70.01
2025-04-22 06,79.47,84.30,,4.00,27.55,60.62,52.41,60.79
2025-04-22 07,,89.83,42.60,,,,59.90,59.50
2025-04-22 08,87.43,95.92,53.13,3.93,34.70,63.77,63.56,62.11
2025-04-22 09,,101.31,70.75,3.81,39.32,78.23,73.04,61.03
2025-04-22 10,88.70,,73.29,3.43,42.50,77.57,,
2025-04-22 11,92.27,99.28,73.04,3.69,45.00,,70.93,61.79
2025-04-22 12,99.45,102.84,,,48.63,85.48,71.66,68.24
2025-04-22 13,116.02,112.11,70.20,4.12,,,,83.50
2025-04-22 14,139.62,126.39,69.48,5.93,55.08,105.78,68.43,115.35
2025-04-22 15,149.41,120.14,,5.58,,112.18,70.90,116.09
2025-04-22 16,124.55,102.03,73.74,4.83,58.29,93.18,65.25,98.49
2025-04-22 17,108.30,,70.21,4.07,56.79,80.31,57.51,75.74
2025-04-22 18,116.18,87.92,,3.47,,,,
2025-04-22 19,,100.14,77.86,,61.28,93.20,56.30,95.38
2025-04-22 20,118.96,102.88,73.80,4.47,57.26,98.15,57.19,87.98
2025-04-22 21,121.38,,74.07,,56.30,,54.79,
2025-04-22 22,129.20,105.18,74.93,4.44,50.58,98.15,54.35,94.25
2025-04-22 23,139.80,118.39,65.19,6.62,49.29,98.40,53.70,105.30
2025-04-23 00,141.36,116.27,60.52,6.42,39.11,103.79,53.75,
2025-04-23 01,139.02,,,,,106.03,49.18,101.30
2025-04-23 02,132.60,109.34,58.86,7.10,37.24,105.08,,98.91
2025-04-23 03,131.06,104.52,55.52,6.14,36.65,100.57,48.88,
2025-04-23 04,121.69,101.47,52.11,6.30,,95.31,45.09,93.49
2025-04-23 05,104.27,94.87,46.07,5.38,33.55,75.57,,78.50
2025-04-23 06,88.63,96.19,,3.97,,66.80,56.72,68.47
2025-04-23 07,,,47.77,3.78,32.26,,66.39,
2025-04-23 08,91.26,103.13,58.01,,52.08,66.83,68.21,68.22
2025-04-23 09,94.38,104.80,73.30,3.65,49.66,76.82,79.08,68.89
2025-04-23 10,101.11,105.05,79.94,4.15,54.30,84.30,,65.72
2025-04-23 11,,107.92,80.17,3.69,53.48,,79.87,
2025-04-23 12,108.46,,77.82,3.93,57.63,87.85,76.00,72.79
2025-04-23 13,121.15,117.00,74.93,,61.56,,,91.22
2025-04-23 14,147.68,128.19,75.02,5.29,63.93,119.07,68.76,122.29
2025-04-23 15,154.59,132.28,,6.02,63.58,116.27,81.59,129.76
2025-04-23 16,134.27,110.25,76.95,4.78,,103.54,76.04,109.40
2025-04-23 17,114.63,97.05,72.92,,64.31,89.89,64.65,83.57
2025-04-23 18,,,,3.65,64.24,,,
2025-04-23 19,126.19,108.42,85.52,4.34,60.97,102.16,61.85,103.64
2025-04-23 20,128.66,109.49,,4.35,,107.11,64.65,
2025-04-23 21,142.61,113.08,83.82,4.23,60.10,106.32,63.68,100.59
2025-04-23 22,,,78.80,4.76,57.60,,62.65,108.75
2025-04-23 23,152.25,122.77,73.61,5.58,54.54,107.66,62.83,119.27
2025-04-24 00,155.59,124.71,64.09,6.93,31.64,116.83,55.72,116.11
2025-04-24 01,146.50,117.40,60.02,7.05,,111.43,50.96,110.94
2025-04-24 02,139.28,111.22,,7.06,28.02,108.07,50.33,105.19
2025-04-24 03,,109.65,58.41,,28.42,104.93,49.94,101.37
2025-04-24 04,136.51,104.18,53.79,6.39,,98.16,46.17,98.66
2025-04-24 05,106.97,92.32,48.62,5.68,29.49,79.09,,81.20
2025-04-24 06,,,,,27.20,69.69,55.31,71.18
2025-04-24 07,90.00,104.45,51.42,4.98,,,64.51,
2025-04-24 08,93.05,,63.47,4.69,37.91,72.22,77.36,74.91
2025-04-24 09,,109.94,84.35,4.59,44.06,80.69,,
2025-04-24 10,97.93,,,,49.31,90.82,79.13,74.34
2025-04-24 11,101.53,111.86,84.09,4.59,52.09,94.78,82.09,77.16
2025-04-24 12,113.34,118.54,83.29,,63.06,95.50,81.39,85.70
2025-04-24 13,135.84,130.52,,4.97,,,,106.16
2025-04-24 14,162.24,137.09,80.29,5.64,60.66,115.24,73.89,125.01
2025-04-24 15,155.43,131.53,,5.05,60.81,123.34,85.90,140.31
2025-04-24 16,137.10,122.55,80.25,3.98,61.48,105.06,79.09,111.04
2025-04-24 17,114.98,104.46,84.57,3.53,,93.42,67.71,88.06
2025-04-24 18,,,,,57.50,,,
2025-04-24 19,127.09,112.08,89.27,4.22,58.73,101.50,65.47,98.22
2025-04-24 20,125.19,109.60,84.99,4.17,57.54,104.86,62.33,92.95
2025-04-24 21,,,82.68,,51.58,,,
2025-04-24 22,128.05,109.21,78.99,5.79,,104.55,54.98,101.49
2025-04-24 23,139.21,115.73,71.63,,52.77,,59.37,112.08
2025-04-25 00,146.36,125.26,63.20,7.75,29.27,111.24,54.46,117.60
2025-04-25 01,145.35,127.23,63.20,,29.71,116.03,,118.25
2025-04-25 02,142.52,121.12,,7.47,32.97,113.05,53.15,112.61
2025-04-25 03,135.31,113.37,60.90,,32.14,107.19,52.36,105.90
2025-04-25 04,127.93,109.84,57.95,7.28,29.40,102.16,51.30,101.63
2025-04-25 05,113.91,105.43,51.14,6.42,27.28,86.59,47.18,95.85
2025-04-25 06,,,,,,80.92,,
2025-04-25 07,108.33,98.63,49.76,5.76,29.78,81.86,45.59,89.49
2025-04-25 08,115.43,106.23,62.79,6.23,50.89,81.24,48.78,98.79
2025-04-25 09,120.77,112.28,75.59,,49.87,,54.42,93.59
2025-04-25 10,,106.60,80.03,5.83,49.88,84.26,50.06,
2025-04-25 11,120.22,103.36,73.46,4.86,,87.35,46.47,93.65
2025-04-25 12,122.04,,,5.16,53.07,,,
2025-04-25 13,140.15,117.13,73.26,,,97.43,49.12,105.27
2025-04-25 14,160.51,130.76,76.97,5.51,57.12,118.67,57.70,120.94
2025-04-25 15,156.39,126.55,77.73,5.24,60.65,113.32,60.06,127.02
2025-04-25 16,133.12,111.01,81.61,3.53,62.13,95.56,59.84,98.70
2025-04-25 17,114.20,96.95,78.15,,60.24,81.40,,73.60
2025-04-25 18,,,,3.68,61.13,,55.01,
2025-04-25 19,121.06,107.48,83.73,3.87,58.48,96.01,59.53,89.55
2025-04-25 20,119.43,,85.84,4.32,,94.47,,86.06
2025-04-25 21,121.47,99.29,80.12,,57.85,,56.85,
2025-04-25 22,131.43,102.00,77.49,5.19,55.42,94.60,59.36,88.16
2025-04-25 23,143.38,110.75,67.58,5.76,51.75,97.72,60.66,108.61
2025-04-26 00,142.58,123.39,63.21,5.89,,109.24,,114.22
2025-04-26 01,146.91,120.94,62.35,6.75,26.49,112.06,56.82,114.66
2025-04-26 02,141.03,118.76,60.44,7.18,,105.77,55.43,113.22
2025-04-26 03,136.59,115.54,,6.74,30.89,104.46,,106.16
2025-04-26 04,131.97,109.16,59.08,6.84,28.96,100.13,54.66,105.17
2025-04-26 05,114.15,102.19,52.11,,,85.35,47.02,89.18
2025-04-26 06,,,49.31,5.92,25.31,75.82,,
2025-04-26 07,109.65,101.21,,5.92,27.47,,47.71,87.92
2025-04-26 08,118.09,110.51,62.90,5.71,47.24,82.50,54.64,95.61
2025-04-26 09,,,79.41,,48.30,92.92,59.72,89.43
2025-04-26 10,122.83,108.65,84.38,5.58,,,69.19,
2025-04-26 11,,110.10,85.35,4.85,56.98,95.83,,86.46
2025-04-26 12,128.09,,83.43,,57.13,98.98,74.45,92.99
2025-04-26 13,134.26,115.48,77.63,4.69,56.00,,,104.42
2025-04-26 14,152.99,126.96,,5.45,,115.29,61.25,122.95
2025-04-26 15,151.37,134.67,80.04,,58.36,120.63,69.25,128.98
2025-04-26 16,130.68,111.85,84.17,5.10,57.00,101.58,66.35,97.75
2025-04-26 17,112.97,101.74,78.52,4.22,59.59,89.93,63.90,
2025-04-26 18,,,,,59.62,,64.94,75.76
2025-04-26 19,133.03,107.57,87.95,3.96,59.20,103.69,,94.62
2025-04-26 20,,109.18,84.38,4.50,,105.31,65.58,99.77
2025-04-26 21,133.95,107.25,83.05,,58.98,,,
2025-04-26 22,149.71,111.89,82.12,6.23,54.30,105.43,64.44,109.28
2025-04-26 23,150.08,120.08,74.37,,52.75,108.90,69.22,116.03
2025-04-27 00,150.56,123.67,64.16,7.44,31.86,115.86,59.52,113.88
2025-04-27 01,147.98,116.61,61.29,,,114.72,54.95,109.16
2025-04-27 02,145.48,,58.16,7.24,29.59,112.56,,104.20
2025-04-27 03,138.61,114.22,56.03,,32.65,108.39,55.39,99.20
2025-04-27 04,133.66,105.78,56.03,6.72,30.44,100.52,51.59,95.03
2025-04-27 05,113.10,,49.38,5.92,30.00,84.04,,81.30
2025-04-27 06,103.64,102.15,,5.07,31.20,76.61,65.11,73.42
2025-04-27 07,,102.66,52.96,4.29,,,74.94,
2025-04-27 08,106.84,107.29,64.90,,46.36,81.42,78.88,72.29
2025-04-27 09,107.25,.26,81.92,.18,,.31,85.36,.21
2025-04-27 10,,.26,87.75,.18,54.52,.31,86.31,
2025-04-27 11,108.49,.26,87.29,.18,,.31,86.30,.22
2025-04-27 12,117.13,,85.89,.18,54.92,.31,83.54,
2025-04-27 13,133.10,120.44,,,,,,49.75
2025-04-27 14,173.77,141.17,84.80,5.68,54.66,132.59,75.03,132.05
2025-04-27 15,171.31,135.22,,6.08,62.08,126.30,85.20,135.94
2025-04-27 16,147.06,121.88,86.53,5.48,57.13,111.45,76.45,109.76
2025-04-27 17,125.69,100.58,85.23,4.82,,101.21,64.90,86.87
2025-04-27 18,,,,,60.54,,62.42,
2025-04-27 19,134.80,108.46,93.39,4.69,,108.61,63.80,108.89
2025-04-27 20,,114.83,,5.48,60.22,111.22,,107.00
2025-04-27 21,137.80,,90.25,5.14,56.87,113.79,61.53,
2025-04-27 22,149.80,117.92,83.28,7.59,53.78,,68.10,115.45
2025-04-27 23,164.46,129.03,73.61,8.03,54.77,120.93,66.33,127.42
2025-04-28 00,161.89,129.37,66.48,,,126.42,,
2025-04-28 01,157.36,123.10,64.41,8.03,32.76,123.45,64.10,119.07
2025-04-28 02,,120.15,60.69,8.04,32.02,119.37,,110.31
2025-04-28 03,154.30,121.67,,,35.08,117.66,56.76,106.38
2025-04-28 04,145.80,112.69,59.47,7.76,34.10,109.50,55.74,103.79
2025-04-28 05,125.23,104.89,52.14,6.12,33.58,92.64,,88.11
2025-04-28 06,106.16,,,4.83,35.45,80.86,61.99,73.73
2025-04-28 07,,112.27,50.66,4.50,,,74.58,75.11
2025-04-28 08,106.03,119.11,65.26,4.35,51.55,83.85,82.31,
2025-04-28 09,116.72,126.67,80.98,4.17,,93.70,86.63,77.67
2025-04-28 10,120.28,120.97,90.50,3.87,56.79,100.18,90.78,76.13
2025-04-28 11,122.22,,96.46,,62.27,104.26,93.12,
2025-04-28 12,130.27,131.15,87.53,5.33,61.76,109.75,90.77,90.16
2025-04-28 14,182.73,150.06,85.17,7.35,65.42,133.06,80.06,141.99
2025-04-28 15,179.92,139.93,,6.75,66.99,132.21,86.40,144.75
2025-04-28 16,156.42,126.64,88.06,6.15,65.51,118.72,81.26,118.50
2025-04-28 17,130.86,108.64,85.95,4.82,,106.92,72.81,92.29
2025-04-28 18,,,,,62.68,,,
2025-04-28 19,142.33,121.02,95.17,4.92,60.93,112.84,69.80,103.70
2025-04-28 20,,122.71,89.10,5.13,57.47,115.65,,107.52
2025-04-28 21,146.43,120.63,90.71,,,,68.67,110.45
2025-04-28 22,154.05,,84.11,5.42,54.29,119.58,67.09,124.56
2025-04-28 23,163.25,125.07,74.56,7.41,50.77,118.91,64.47,123.48
2025-04-29 00,,130.55,67.06,,,125.38,,120.43
2025-04-29 01,164.61,127.74,62.90,8.12,29.96,122.79,63.50,117.15
2025-04-29 02,153.61,118.54,59.37,7.76,32.62,116.61,57.35,110.26
2025-04-29 03,148.97,,56.60,7.32,32.15,,56.62,109.00
2025-04-29 04,145.29,118.32,55.64,7.06,,113.88,55.48,103.22
2025-04-29 05,120.21,104.40,53.13,6.90,31.45,89.26,,88.07
2025-04-29 06,110.64,,,5.98,,77.57,60.47,74.91
2025-04-29 07,,107.00,50.99,,30.95,,73.87,
2025-04-29 08,114.34,113.50,68.38,5.16,48.43,84.29,84.47,76.01
2025-04-29 09,117.68,114.58,82.25,5.16,53.37,89.36,88.44,
2025-04-29 10,121.95,119.32,84.61,,54.95,97.59,,74.93
2025-04-29 11,,120.59,85.32,4.80,60.43,,90.33,76.32
2025-04-29 12,130.61,124.44,87.75,5.36,62.14,109.81,89.75,85.23
2025-04-29 13,147.79,138.64,82.39,,,,,107.25
2025-04-29 14,180.80,149.29,82.99,6.61,67.28,135.21,86.90,137.95
2025-04-29 15,186.32,143.16,,5.76,68.38,133.92,86.44,143.72
2025-04-29 16,162.00,127.94,87.48,5.27,67.78,122.06,83.51,114.97
2025-04-29 17,137.31,107.76,88.26,3.94,68.07,107.63,69.17,94.30
2025-04-29 18,,,,4.19,67.96,,,
2025-04-29 19,149.30,114.54,90.98,4.13,63.20,108.90,64.66,110.06
2025-04-29 20,148.98,,,4.42,60.52,110.61,70.51,
2025-04-29 21,,117.75,91.00,,59.21,,,107.36
2025-04-29 22,160.11,126.68,85.80,6.14,56.65,112.23,63.85,123.05
2025-04-29 23,165.08,138.24,77.29,6.23,55.65,126.80,67.44,127.42
2025-04-30 00,167.91,136.62,65.63,7.66,,127.64,65.19,125.64
2025-04-30 01,158.47,130.41,63.74,7.91,32.01,123.59,61.70,122.67
2025-04-30 02,156.03,125.78,60.72,8.54,29.52,118.63,58.57,117.65
2025-04-30 03,,115.23,58.58,6.83,31.03,111.63,56.62,108.31
2025-04-30 04,147.78,113.66,54.88,,,103.60,52.21,103.17
2025-04-30 05,120.80,,51.45,6.78,32.08,90.74,,91.12
2025-04-30 06,110.95,107.79,,4.53,,77.98,61.23,79.25
2025-04-30 07,,117.38,50.88,,31.36,,76.69,
2025-04-30 08,113.98,122.58,64.84,4.80,45.56,82.96,83.63,82.37
2025-04-30 09,120.80,124.91,93.42,5.26,48.71,92.22,91.92,84.07
2025-04-30 10,126.35,,91.88,4.80,51.27,101.24,91.69,
2025-04-30 11,125.21,132.02,87.18,4.94,58.11,,92.48,80.89
2025-04-30 12,141.23,134.52,86.78,,58.00,109.49,93.42,95.89
2025-04-30 13,156.77,154.99,84.98,5.22,,113.09,83.00,115.24
2025-04-30 14,187.51,162.02,89.81,6.71,58.46,136.34,90.12,144.60
2025-04-30 15,187.55,156.23,,5.92,,140.07,89.11,152.39
2025-04-30 16,162.09,133.98,92.57,4.94,61.80,122.33,85.32,126.36
2025-04-30 17,137.16,113.44,87.26,5.07,58.99,107.71,78.49,96.71
2025-04-30 18,,,92.39,4.79,62.65,,,
2025-04-30 19,158.91,121.79,94.75,,,122.49,72.34,119.95
2025-04-30 20,,130.01,,4.59,57.26,,71.36,114.95
2025-04-30 21,161.49,,92.41,5.01,57.32,121.47,,
2025-04-30 22,167.99,126.95,85.04,6.75,55.26,,74.56,127.87
2025-04-30 23,175.57,135.40,80.41,,54.39,125.69,67.59,134.54
2025-05-01 00,175.91,139.53,68.07,7.71,43.77,133.10,65.32,133.19
2025-05-01 01,169.53,133.35,65.33,8.73,46.28,127.37,62.36,128.34
2025-05-01 02,166.95,128.81,63.06,7.73,,125.70,59.58,119.89
2025-05-01 03,158.37,123.17,60.44,,42.19,120.85,,
2025-05-01 04,148.92,116.75,57.86,7.28,45.43,111.63,57.32,115.61
2025-05-01 05,126.38,,53.57,6.09,34.91,93.70,,99.83
2025-05-01 06,113.75,107.89,,5.43,36.97,80.50,59.68,83.91
2025-05-01 07,,113.52,53.85,,,,72.72,
2025-05-01 08,121.78,119.04,67.00,4.39,44.94,83.81,82.05,81.27
2025-05-01 09,124.74,127.02,87.31,5.36,52.56,91.29,88.49,82.12
2025-05-01 10,129.63,,89.65,5.07,55.78,101.40,91.18,
2025-05-01 11,,125.38,,,56.12,,,82.88
2025-05-01 12,140.65,130.02,88.86,5.61,59.27,104.89,93.91,95.01
2025-05-01 13,164.33,147.90,,6.69,,112.75,85.43,116.01
2025-05-01 14,190.20,158.85,82.99,6.99,58.23,136.37,,143.85
2025-05-01 15,188.59,152.48,86.84,,61.72,136.97,94.87,151.65
2025-05-01 16,162.98,135.05,94.16,5.57,63.11,120.77,91.01,124.74
2025-05-01 17,129.98,114.41,87.28,,60.98,104.18,76.86,89.59
2025-05-01 18,,,,4.41,58.02,,,
2025-05-01 19,138.74,119.52,95.47,5.79,56.03,111.76,68.86,109.31
2025-05-01 20,,,,4.57,57.75,117.63,66.76,104.99
2025-05-01 21,136.85,118.67,91.57,,52.37,,,
2025-05-01 22,145.24,120.81,88.41,5.58,53.63,109.81,70.45,110.81
2025-05-01 23,159.92,130.20,80.14,6.81,50.82,117.27,,123.97
2025-05-02 00,171.10,138.23,73.20,7.82,41.66,128.31,69.71,132.56
2025-05-02 01,168.14,134.99,71.60,8.23,,126.16,61.82,127.65
2025-05-02 02,161.67,125.82,66.15,7.78,42.79,123.15,,123.55
2025-05-02 03,,,61.66,,,120.25,61.35,119.74
2025-05-02 04,156.63,125.47,59.40,7.53,41.59,111.20,57.01,113.98
2025-05-02 05,134.27,112.04,55.97,6.67,41.75,94.71,53.07,102.22
2025-05-02 06,,,,6.55,,,,
2025-05-02 07,133.04,109.69,53.69,6.39,40.87,87.75,53.48,103.14
2025-05-02 08,135.36,112.87,67.31,5.51,52.34,88.90,60.31,112.90
2025-05-02 09,138.07,117.25,83.81,5.22,56.74,92.30,67.78,
2025-05-02 10,149.04,121.82,91.81,6.01,58.55,103.91,66.48,108.83
2025-05-02 11,143.84,115.81,86.44,5.90,,100.23,59.61,106.18
2025-05-02 12,,,,5.24,58.57,,,
2025-05-02 13,165.42,128.65,83.88,5.51,61.51,111.76,59.64,120.06
2025-05-02 14,178.95,144.35,83.50,,63.49,129.69,65.73,141.29
2025-05-02 15,184.36,145.57,,6.24,,131.80,71.53,152.06
2025-05-02 16,154.03,122.83,95.66,4.67,64.44,122.14,74.26,119.65
2025-05-02 17,135.80,104.92,90.11,,63.88,99.83,72.64,90.47
2025-05-02 18,,,,3.50,,,,
2025-05-02 19,144.01,117.69,100.35,4.83,64.54,110.28,72.15,109.96
2025-05-02 20,143.65,120.84,,4.86,61.28,112.65,70.58,102.82
2025-05-02 21,144.26,120.52,97.47,,56.76,,63.90,
2025-05-02 22,149.74,,90.65,4.78,57.91,107.48,,109.37
2025-05-02 23,164.54,139.60,80.13,5.14,55.92,113.65,65.89,122.88
2025-05-03 00,172.16,,69.99,6.18,37.94,124.82,69.77,133.92
2025-05-03 01,175.10,141.30,70.78,7.65,,133.83,63.77,134.68
2025-05-03 02,167.13,140.23,66.51,8.14,37.85,125.76,62.57,127.24
2025-05-03 03,163.34,132.60,63.23,,38.50,121.31,59.93,
2025-05-03 04,152.66,124.06,60.40,7.95,,113.32,56.93,122.64
2025-05-03 05,135.42,116.86,55.80,6.77,39.14,97.99,54.27,105.80
2025-05-03 06,,116.30,,6.86,36.55,89.18,,
2025-05-03 07,134.05,,57.98,,,,56.94,103.16
2025-05-03 08,147.71,126.45,71.28,6.62,50.33,95.12,64.62,109.22
2025-05-03 09,,128.15,88.64,5.93,53.57,102.21,71.16,109.57
2025-05-03 10,149.45,132.85,94.60,,60.03,,76.17,
2025-05-03 11,145.46,131.08,101.83,5.08,,107.20,,107.82
