,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
2025-06-12 19,169.36,157.24,114.34,67.78,,133.29,74.27,124.37
2025-06-12 20,174.70,152.17,113.06,64.98,67.65,128.33,74.18,
2025-06-12 21,173.78,,103.44,66.93,66.33,,73.51,122.77
2025-06-12 22,189.35,147.94,92.49,73.61,65.01,131.53,71.22,136.88
2025-06-12 23,195.10,159.00,,82.55,64.19,138.36,,149.39
2025-06-13 00,200.71,166.72,80.38,85.52,,147.71,72.50,153.70
2025-06-13 01,199.96,,79.19,85.68,34.82,146.42,72.45,152.80
2025-06-13 02,192.99,158.68,,,38.73,,69.26,147.00
2025-06-13 03,192.03,153.10,72.47,82.17,38.67,141.96,67.33,145.30
2025-06-13 04,,143.53,70.49,,36.83,138.26,66.33,145.99
2025-06-13 05,175.47,,66.27,77.27,,114.01,,
2025-06-13 06,165.58,138.48,65.64,,34.09,,62.10,124.53
2025-06-13 07,170.76,147.11,71.62,71.34,44.47,116.18,62.35,132.19
2025-06-13 08,,153.32,90.85,71.28,60.35,120.21,71.00,133.69
2025-06-13 09,174.35,155.15,99.47,68.53,59.99,124.06,76.07,136.29
2025-06-13 10,184.26,152.67,106.34,,63.02,120.25,78.80,140.28
2025-06-13 11,184.40,153.36,106.76,70.99,62.83,119.71,65.79,142.18
2025-06-13 12,186.03,156.28,,74.37,65.83,121.07,,146.64
2025-06-13 13,208.26,163.29,97.64,79.09,65.86,144.04,70.59,157.52
2025-06-13 14,219.75,171.82,95.92,81.84,66.52,156.71,75.75,167.72
2025-06-13 15,221.93,178.69,98.38,85.46,73.20,166.81,78.96,179.48
2025-06-13 16,181.65,147.30,114.44,62.93,70.02,138.80,84.74,132.44
2025-06-13 17,,,111.43,,,120.37,83.32,
2025-06-13 18,159.78,131.97,,48.58,67.56,,79.00,106.51
2025-06-13 19,175.47,150.20,113.43,69.55,,128.91,78.68,131.61
2025-06-13 20,178.09,150.69,113.68,71.49,70.21,128.28,81.99,127.45
2025-06-13 21,184.50,,99.85,,66.70,125.63,78.17,124.94
2025-06-13 22,186.29,149.51,95.06,70.81,,132.84,75.54,134.29
2025-06-13 23,201.45,162.84,87.41,87.10,61.79,139.75,76.09,148.20
2025-06-14 00,195.90,165.71,,87.48,37.46,148.56,72.37,151.24
2025-06-14 01,,162.90,78.27,87.32,39.19,142.96,,
2025-06-14 02,192.05,156.32,71.85,,,141.63,68.59,146.77
2025-06-14 03,188.31,,69.17,84.61,39.98,,,141.76
2025-06-14 04,172.68,152.53,,79.81,38.70,135.68,67.61,133.39
2025-06-14 05,,134.49,66.14,,,112.28,67.63,124.03
2025-06-14 06,162.33,,64.13,71.14,35.82,,69.36,
2025-06-14 07,163.03,143.05,66.48,70.26,38.56,113.19,70.95,125.66
2025-06-14 08,172.21,147.54,91.88,69.33,59.69,118.94,77.76,129.82
2025-06-14 09,175.25,157.36,102.25,69.38,67.40,129.00,78.81,132.84
2025-06-14 10,179.11,,107.99,,66.07,130.77,,132.27
2025-06-14 11,176.87,154.59,108.51,67.41,64.92,133.47,83.15,133.35
2025-06-14 12,179.80,161.84,110.51,74.46,68.53,141.70,84.00,151.79
2025-06-14 13,190.50,166.38,105.87,84.96,68.48,147.78,,158.96
2025-06-14 14,212.66,178.38,99.72,91.06,66.17,163.25,79.65,166.38
2025-06-14 15,215.81,180.21,98.40,,70.08,164.82,81.55,176.81
2025-06-14 16,201.78,151.57,101.99,89.92,71.93,144.63,81.36,133.28
2025-06-14 17,159.76,,96.01,57.04,71.94,121.62,80.22,102.76
2025-06-14 18,,131.39,,,,,75.49,
2025-06-14 19,172.24,146.59,105.56,72.47,66.51,136.12,73.04,133.01
2025-06-14 20,175.88,148.92,104.05,71.66,66.36,139.94,74.33,
2025-06-14 21,178.03,,96.87,71.84,62.71,,,132.88
2025-06-14 22,187.20,151.05,86.99,76.95,63.69,136.13,73.80,136.40
2025-06-14 23,188.87,155.92,,85.68,56.41,140.70,,140.76
2025-06-15 00,185.68,158.49,73.92,87.72,,145.67,72.89,138.35
2025-06-15 01,181.90,,,87.38,27.22,,,
2025-06-15 02,,151.37,68.16,,29.53,141.77,64.02,134.17
2025-06-15 03,175.86,148.88,65.54,84.09,28.99,141.69,64.27,132.72
2025-06-15 04,159.75,144.72,65.31,75.60,30.02,126.51,,123.51
2025-06-15 05,,,,69.80,26.85,,63.56,114.76
2025-06-15 06,150.78,142.92,63.43,66.46,27.25,109.69,70.70,
